,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyAcc-mad()-X
0,0.25717778,-0.02328523,-0.014653762,-0.938404,-0.92009078,-0.66768331,-0.95250112
1,0.28602671,-0.013163359,-0.11908252,-0.97541469,-0.9674579,-0.94495817,-0.9867988
2,0.27548482,-0.02605042,-0.11815167,-0.99381904,-0.96992551,-0.96274798,-0.99440345
3,0.27029822,-0.032613869,-0.11752018,-0.99474279,-0.97326761,-0.96709068,-0.99527433
4,0.27483295,-0.027847788,-0.12952716,-0.99385248,-0.96744548,-0.97829499,-0.9941114
5,0.27921995,-0.018620399,-0.11390197,-0.99445523,-0.97041688,-0.96531629,-0.99458514
6,0.27974586,-0.018271026,-0.10399988,-0.99581919,-0.97635361,-0.97772468,-0.99599613
7,0.27460055,-0.02503513,-0.11683085,-0.99559442,-0.98206892,-0.98526237,-0.99534087
8,0.27252874,-0.020954013,-0.11447249,-0.99678413,-0.97590627,-0.98659699,-0.99702932
9,0.2757457,-0.010371994,-0.09977589,-0.99837313,-0.98693291,-0.9910219,-0.99866291
10,0.27859589,-0.015231928,-0.098908415,-0.99878507,-0.98194306,-0.99137882,-0.99882827
11,0.27915178,-0.021879444,-0.10973077,-0.99778103,-0.99295121,-0.98568028,-0.99771026
12,0.27454383,-0.023145294,-0.1125396,-0.99620456,-0.9915728,-0.98751828,-0.99652049
13,0.26906631,-0.027685967,-0.11017794,-0.9968836,-0.9864395,-0.9884791,-0.99749785
14,0.27557925,-0.018936424,-0.097409776,-0.99606469,-0.96822549,-0.98069598,-0.99621791
15,0.28193083,-0.004880615,-0.086106145,-0.98907559,-0.95900626,-0.97302388,-0.99378223
16,0.31107792,-0.019430625,-0.10186634,-0.9366878,-0.84018585,-0.81682639,-0.94133717
17,0.26232825,-0.023257054,-0.12552494,-0.98456111,-0.91337982,-0.91267279,-0.98395147
18,0.28841575,-0.003485395,-0.083827858,-0.99457065,-0.97835984,-0.97994262,-0.99533656
19,0.27116593,-0.025972908,-0.094923481,-0.97012403,-0.90187818,-0.9652996,-0.97738718
20,0.25309467,-0.044192268,-0.13929762,-0.96892213,-0.9103836,-0.91886033,-0.9753863
21,0.27133883,-0.029954058,-0.11859533,-0.96093148,-0.90503507,-0.87126958,-0.97340036
22,0.29926682,0.011798517,-0.031653276,-0.94875426,-0.84418244,-0.88070536,-0.9584052
23,0.29389749,0.01115091,-0.069281198,-0.96241329,-0.86333992,-0.85995713,-0.97218363
24,0.27563911,-0.015565524,-0.1254582,-0.98916068,-0.96851562,-0.96872274,-0.99063487
25,0.27225459,-0.025051205,-0.13318432,-0.99115349,-0.96354868,-0.97316133,-0.99180349
26,0.27642711,-0.026277565,-0.12694133,-0.99298881,-0.96561954,-0.9657378,-0.99341661
27,0.28016952,-0.014362437,-0.10047145,-0.99359232,-0.9719031,-0.97793999,-0.99452135
28,0.27746102,-0.01584543,-0.10639347,-0.99502745,-0.97159341,-0.97872472,-0.99589597
29,0.28837469,-0.0085476599,-0.10705876,-0.99334035,-0.9619744,-0.98449309,-0.99332197
