artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Shakira;Whenever, Wherever;196160;2001;107.657;pop, latin;0.832;1;-4.862
Major Lazer;Cold Water (feat. Justin Bieber & MØ);185351;2016;92.943;hip hop, pop, Dance/Electronic;0.798;6;-5.092
Geri Halliwell;It's Raining Men;254640;2001;136.482;pop;0.929;5;-6.03
Ed Sheeran;Cross Me (feat. Chance the Rapper & PnB Rock);206186;2019;95.005;pop;0.787;4;-6.373
Amy Winehouse;You Know I'm No Good;256946;2006;103.383;R&B;0.806;9;-3.607
Sean Paul;No Lie;221176;2018;102.04;hip hop, pop;0.882;7;-2.862
Nelly Furtado;Maneater;258893;2006;132.722;hip hop, pop, latin;0.777;6;-4.81
Ludacris;Get Back;270746;2004;171.609;hip hop, pop;0.639;1;-5.16
Migos;Walk It Talk It;276147;2018;145.914;hip hop, pop;0.633;2;-5.145
Eminem;The Real Slim Shady;284200;2000;104.504;hip hop;0.661;5;-4.244
Enrique Iglesias;SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox);207680;2017;91.011;pop, latin;0.822;0;-3.304
Ava Max;So Am I;183026;2019;130.089;pop;0.656;6;-4.67
Coldplay;Princess of China;239215;2011;85.014;rock, pop;0.69;9;-6.221
Missy Elliott;Work It;263226;2002;101.868;hip hop, pop, R&B;0.677;1;-5.603
Matchbox Twenty;Bent;256133;2000;95.468;pop, rock;0.83;6;-6.814
Ariana Grande;Into You;244453;2016;107.853;pop;0.734;9;-5.948
Sebastian Ingrosso;Reload - Radio Edit;221272;2013;128.045;pop, Dance/Electronic;0.724;9;-4.633
Britney Spears;Break the Ice;196053;2007;117.533;pop;0.911;5;-3.866
Camille Jones;The Creeps - Fedde Le Grand Radio Mix;152333;2006;127.894;set();0.861;6;-6.632
Rihanna;Bitch Better Have My Money;219305;2015;102.99;hip hop, pop, R&B;0.728;1;-4.981
Justin Timberlake;Mirrors;484146;2013;76.899;pop;0.512;5;-6.664
Avicii;Without You (feat. Sandro Cavazza);181672;2017;133.993;pop, Dance/Electronic;0.858;2;-4.844
Ellie Goulding;Burn;231211;2014;87.016;pop, rock, Dance/Electronic;0.777;1;-5.031
Justin Bieber;Sorry;200786;2015;99.945;pop;0.76;0;-3.669
Nickelback;If Today Was Your Last Day;249066;2008;89.956;rock, metal;0.911;3;-5.749
Wiz Khalifa;See You Again (feat. Charlie Puth);229525;2015;80.025;hip hop, pop;0.481;10;-7.503
Travie McCoy;Billionaire (feat. Bruno Mars);211160;2010;86.776;hip hop, pop;0.673;6;-6.403
Iyaz;Replay;182306;2009;91.031;hip hop, pop;0.751;9;-6.323
S Club 7;Have You Ever;201533;2001;139.909;pop;0.702;0;-5.734
3 Doors Down;It's Not My Time;241960;2008;127.962;pop, rock, metal;0.934;0;-4.808
Fabolous;Throw It In The Bag;231573;2009;172.049;hip hop, pop, R&B;0.55;11;-7.423
Gabrielle;Rise;219093;2001;144.673;pop, R&B;0.481;8;-9.487
Cali Swag District;Teach Me How to Dougie;237480;2011;85.013;hip hop, pop;0.438;11;-4.981
